"","","","","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","Inscription à un ou des cours d'appui",""
"Les attentes et les objectifs sont clairement définis","La structure du cours sur GitHub est cohérente, facile d'accès et permet de retrouver rapidement les informations que je cherche","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Le cours est varié, motivant et permet de ne pas m'ennuyer","Les exemples et les exercices sont pertinents et adaptés à mon niveau","Les mini-projets sont pertinents et adaptés à mon niveau","J'ai réalisé tous les exercices proposés","J'ai réalisé tous les mini-projets proposés","Le temps à disposition pour réaliser les exercices le mini-projet était correct","J'avais les pré-requis necessaires pour le cours ProgServ1 (contenus des cours OutDév, DocuWeb, RésInt, ProgIM1, ModelDon)","Je me sens capable de réaliser une petite application web avec PHP pour gérer une collection d'objets (visualisation, insertion, modification et suppression)","J'aurais plaisir à suivre un cours qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié...","J'ai moins apprécié et je propose...","Introduction à PHP","Tableaux et boucles","Fonctions","Formulaires HTML et validation","Bases de données et PDO","J'aimerais pouvoir avoir un ou des cours d'appui","Autres remarques et commentaires"
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","","X","","","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","La manière de formuler les choses et la structure du cours","","","","","","","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le format théorie puis exercice, on peut gérer notre temps comme bon nous semble.","Peut être revenir un peu plus sur les minis projet en cours sous format théorie ou démonstration. Par exemple faire une brève synthèse des tâches effectuées du mini-projet de la séance d'avant (pour mieux retenir et comprendre les informations).","","","","","","","Le prof est un très bon pédagogue, bienveillant, à l'écoute et pertinent avec ses réponses. :D"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","","","","","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas du tout d'accord ★☆☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Apprécier le concept de mini projet et j’ai trouvé intéressant de mettre en œuvre ce que nous voyons directement. Il est peut être un peu long car il y’a quand même pas mal de temps à prendre pour le faire, mais j’ai trouvé ça très bien car ça nous permet de nous exercer sans forcément faire TOUS les exercices. ","","","","","","X","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La manière d’enseigner le cours.","","","X","","","","X","Merci beaucoup pour le cours! "
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Le mini-projet",".","","","","","","","J’ai beaucoup aimé suivre le cours  de manière générale."
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La théorie est bien expliquée et les supports de courts sont très complets. Je trouve également le mini projet très intéressant car c’est une bonne mise en pratique des compétences enseignées.

Je trouve que la gestion du temps entre théorie et exercice est plutôt bonne.","Je trouve que la gestion du temps entre théorie et exercice est plutôt bonne bien que je pense que c’est impossible de pouvoir tout faire en classe. Pour quelqu’un qui apprend l’informatique seulement depuis la HEIG (et qui a alors un niveau débutant) ça peut être décourageant.","","","X","","X","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Bonne diction orale, attention particulière portée à la présentation et à faire en sorte que tout le monde ait bien compris. Bienveillance et bonne énergie. ","Le cours sur les fonctions était peut-être un peu trop court par rapport au exercices. Quelques exemple d'explication de fonctions php aurait été apprécié plutôt que d'avoir à aller essayer de comprendre via la documentation pour la moitié des 25 exercices.","","","","","","","Votre façon d'enseigner suscite une réelle motivation et intérêt ce qui n'est pas facile pour une branche aussi complexe, bravo! Continuez d'être attentif, clair, tout en restant gentil :)"
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas du tout d'accord ★☆☆☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Les explications très clair de la part du professeur. Les exemple de code et comparaisons avec Java au début afin de se familiariser avec php.","Le mini-projet est très long, même si non obligatoire il paraît très satisfaisant a l'avoir finit. La marche a suivre est très utiles et nous accompagne bien tout au long mais le projet est tout de même très long et ne laisse pas beaucoup de place aux exercixes. Vise versa, si l'on choisit de faire les exercuces, alors le mini-projet est a faire totalement en dehors des cours, ce qui est a mon avis un point négatif. Je pense qu'il faudrait soit réduire la complexité du projet soit réduire le nombre d'exercices. Le fait d'avoir beaucoup d'exercices est un bien pour les personnes qui veulent aller plus loin ou tout simplement tout comprendre et répéter mais il est très difficile de ne pas ressentir un manque de satisfaction de ne pas avoir finit soit le nombre assez conséquent d'exercices soit de ne pas avoir finit le mini-projet. Dans les 2 cas, si l'on veut finir ou du moins avoir l'impression de finir, alors il faut passer encore plusieurs heures en dehors des heures de cours prévus.","","","","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","La méthode d’enseignement avec beaucoup d’exemple de code et une explication qui est complète.
Le mini-projet avec une instruction claire et objective.
La confiance du prof dans la matière
Le GitHub a été bien structuré, facile à se retrouver.
Pour chaque questions d’ambiguïté le prof essayer d’expliquer d’une manière la plus parlant à l’étudiant. ","Je ne savais pas si j’ai plus me concentrer sur le mini projet ou sur les exercices. ","","","X","","","","Je trouve que c’est un des meilleurs cours de programmation que j’ai eu de ma vie. Tout etait claire. Merci pour ce cours"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le mini-projet","Le temps mis a disposition au vu de la quantité, je trouve qu'il est difficile de réussir à finir les exercices et le mini-projet pendant le cours, au début ça allait, mais plus le mini-projet se complexifiait plus il était difficile de réussir à faire les deux pendant le cours.","","","","","","",""
