"","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","","Inscription à un ou des cours d'appui",""
"Les attentes et les objectifs sont clairement définis","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","Je me sens capable de réaliser une petite application web avec PHP pour gérer une collection d'objets (visualisation, insertion, modification et suppression)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les mini-projets et les exercices sont pertinents et adaptés à mon niveau","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","J'ai réalisé tous les mini-projets et exercices proposés","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié...","J'ai moins apprécié et je propose...","Introduction à PHP","Fonctions","Tableaux et boucles","Formulaires HTML et validation","Bases de données et PDO","Sécurité et nettoyage des saisies utilisateurs","Programmation orientée objet","J'aimerais pouvoir avoir un ou des cours d'appui","Autres remarques et commentaires"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","le cours est particulièrement bien structuré et très clair, on va droit au but","je n'ai rien à redire sur ce cours ","","","","","X","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Le mode d’enseignement en dualité avec mini-projet/exercices non noté (donc pas de pression) ainsi que vos capacités d’enseignants. Le fait qu’on soit aussi traité comme des adultes (horaires notamment) est grandement apprécié.","","","","","","","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","","","","X","X","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","la manière dont vous enseignez ","","","","X","X","X","","","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","La manière d’expliquer + le support de cours.","La difficulté du code, mais bon c’est plus de mon côté ça :’)","","","","X","X","X","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Le fait de pouvoir travailler à la maison et la méthodologie, beaucoup plus clair que les cours de monsieurs hess qui sont parfois trop métaphoriques","L","","","","","","","","","C'était top 👍🏻"
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Le support de cours et la pertinence des exercices. C’était aussi agréable d’avoir des réponses à mes questions lorsque j’en ai eu ! ","De placer des tutorats durant le semestre. Étant donné que l’on se voit seulement toutes les deux semaines, il est parfois difficile de rester concerné et d’avoir les notions en tête. ","","","","","X","X","","X",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","","","","","X","","","X","X","",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","J’ai particulièrement aimé votre manière de nous enseigner. Et j’aurais beaucoup aimé vous avoir au cours de BaseProg 1 et 2 pour pouvoir mieux nous aider a comprendre ces modules.","","","","","X","","","","",""
"Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le dynamisme et la sympa de l’enseignant ainsi, la qualité du support de cours et les réponses à mes questions.","Un peu dans le flou vis à vis du contenu et du niveau de l’examen.","","","","X","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La qualité des supports de cours. L’enseignement du prof, vous étiez là vraiment pour nous, savoir comment on avançait, si on avait besoin d’aide ou autre.","Il n’y a rien que je n’ai pas apprécié.
Mais peut être je proposerai juste après la partie théorique au début du cours, quelques minutes pour faire du live coding. Qu’on code du code tous ensemble pour mieux comprendre le fonctionnement de la partie théorique. ","","","","X","X","X","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le mini-projet qui permet de mettre aisément la théorie en pratique. Chaque partie ayant une correction, cela permet de s'assurer de la bonne tenue de son travail.","La manière de parler manque de dynamisme, mais cela n'est que mon avis.","","","","","","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","franchement le cours est bien, on a le matériel nécessaire pour s'en sortir de manière autonome
en plus la relation que vous avez réussi à créer avec nous, ça nous permet d'oser venir vous poser des questions etc...
Et aussi, le mini-projet c'est top, car ça nous permet de voir qlqch de concret, et c'est cool de pouvoir utiliser notre creation","Ce serait peut-être mieux de nous donner les corrigés en fin de période (pour les exercices surtout) pour nous permettre de prendre en main sans regarder les réponses, car c'est vrai que c'est hyper facile de jeter un coup d'œil et ducoup ça limite un peu la réflexion je trouve 
Et je pense ce serait nice de parfois, reprendre des exercices ensemble typiquement au milieu de la période ~15h vous présentez un exercices et vous nous montrez de déroulement, enfin parfois ça aide aussi à mieux comprendre de voir qlq faire.","","","","X","","X","","X",""
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","La structure du github est clair, bien structuré, le fait d'avoir la théorie sous différentes formes est appréciable également. 
Suivre les différents points de théorie avec un seul mini-projet que l'on améliore avec le temps est vraiment cool","Certaines répétitions des exercices au début qui donnait de la redondance et étaient au début pas du tout stimulante, ça s'est largement amélioré par la suite.

Des fois, je ne suis pas sûr d'avoir acquis la matière à travers les exercices car je m'aidais beaucoup des réponses, peut-être ne pas donner tout de suite les réponses aux exercices serait pertinent ?","","","","","X","X","","","+1 vote au HEIG Awards, et j'ai cru comprendre que je n'étais pas seul dans ma classe à avoir voté pour vous ;) 

J'espère sincèrement pour vous que vous resterez enseignant dans notre filière (si c'est votre envie) car je trouve vos cours vraiment de qualité ! Et au-delà de ça, c'est agréable de pouvoir discuter avec vous, vous êtes une chouette personne"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","- La manière dont à été présenter le langage de programmation en parallèle de Java que nous connaissions déjà un peu. Cela permet de ne pas être trop perdu et faire les parallèles entre les deux langages. 

 - Le mini projet est très sympa à prendre en main. Permet un travail autonome et une première expérience d'utilisation et de compréhensions des notions enseignées.

 ","Peut-être un peu plus de correction commune. ou maybe de live-coding sur un ou deux exercices de la série ","","","","X","","","","","Merci pour votre implication !"
"Tout à fait d'accord ★★★★","","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Les slides et le github","Rien","","","","","","X","","X",""
